Instrument,Labor & Related Expenses - Total,Date
5040937711,2020664.00688674,2018-12-31T00:00:00Z
5040937711,2098715.56539146,2019-12-31T00:00:00Z
5040937711,2228297.9100194,2020-12-31T00:00:00Z
5040937814,1262836.71827501,2011-12-31T00:00:00Z
5040937814,2039272.71917126,2012-12-31T00:00:00Z
5040937814,2329305.62986605,2013-12-31T00:00:00Z
5040937814,2724472.93706406,2014-12-31T00:00:00Z
5040937814,2203080.34519225,2015-12-31T00:00:00Z
5040937814,3119208.55142647,2016-12-31T00:00:00Z
5040937814,2601423.66704307,2017-12-31T00:00:00Z
5040937814,3221059.6840349,2018-12-31T00:00:00Z
5040937814,3616078.61575849,2019-12-31T00:00:00Z
5040937814,3388843.07366677,2020-12-31T00:00:00Z
5040937980,1445820.27558556,2011-12-31T00:00:00Z
5040937980,2175224.23378267,2012-12-31T00:00:00Z
5040937980,2347018.98066351,2013-12-31T00:00:00Z
