Instrument,Total Assets,Date
5063764057,0.0,2017-12-31T00:00:00Z
5063764057,0.0,2018-12-31T00:00:00Z
5063764057,0.0,2019-12-31T00:00:00Z
5063764057,,2020-12-31T00:00:00Z
5063765506,149682815.845824,2014-12-31T00:00:00Z
5063765506,113663431.299351,2015-12-31T00:00:00Z
5063765506,107800277.874262,2016-12-31T00:00:00Z
5063765506,106054953.088827,2017-12-31T00:00:00Z
5063770819,,
5064611730,11998101.5662079,2018-12-31T00:00:00Z
5064611730,13306639.0230566,2019-12-31T00:00:00Z
5064611730,13912379.4868208,2020-12-31T00:00:00Z
5064705883,,
5065875254,,
5065875577,28149721.6016299,2018-12-31T00:00:00Z
5065875577,19937118.3814818,2019-12-31T00:00:00Z
5065875577,334580.724886044,2020-12-31T00:00:00Z
5066545550,1205796.51123329,2015-12-31T00:00:00Z
5066545550,1441935.85735788,2016-12-31T00:00:00Z
5066545550,1202510.0523943,2017-12-31T00:00:00Z
5066545550,983597.069003438,2018-12-31T00:00:00Z
5066545550,2946664.54023512,2019-12-31T00:00:00Z
5066545550,3105538.65165134,2020-12-31T00:00:00Z
5066545600,10072.9419937478,2016-12-31T00:00:00Z
5066545600,1410503.2289509,2017-12-31T00:00:00Z
5066545600,2403370.8775626,2018-12-31T00:00:00Z
5066545600,2556616.23986148,2019-12-31T00:00:00Z
5066545600,2972872.14819478,2020-12-31T00:00:00Z
5066545616,14673613.5232141,2016-12-31T00:00:00Z
5066545616,15500426.4652126,2017-12-31T00:00:00Z
5066545616,14744579.624249,2018-12-31T00:00:00Z
5066545616,14498314.0435615,2019-12-31T00:00:00Z
5066545616,14938737.9195374,2020-12-31T00:00:00Z
5066545625,446503.314554628,2015-12-31T00:00:00Z
5066545625,774921.847863842,2016-12-31T00:00:00Z
5066545625,979651.516997685,2017-12-31T00:00:00Z
5066545625,488036.394364893,2018-12-31T00:00:00Z
5066545625,612070.536772077,2019-12-31T00:00:00Z
5066545663,10861105.4548745,2015-12-31T00:00:00Z
5066545663,11469839.06449,2016-12-31T00:00:00Z
5066545663,12157426.5870598,2017-12-31T00:00:00Z
5066545664,11425.5978642051,2015-12-31T00:00:00Z
5066545664,4498321.17633438,2016-12-31T00:00:00Z
5066545664,5889240.89192153,2017-12-31T00:00:00Z
5066555711,2246770.28892056,2015-12-31T00:00:00Z
5066555711,2962602.75558643,2016-12-31T00:00:00Z
5066555711,3055806.01925186,2017-12-31T00:00:00Z
5066555711,5049370.85441097,2018-12-31T00:00:00Z
5066555711,4042877.97320696,2019-12-31T00:00:00Z
5066555711,4159642.80301706,2020-12-31T00:00:00Z
5066556120,1332156.83612751,2015-12-31T00:00:00Z
5066556120,1629153.64131064,2016-12-31T00:00:00Z
5066556120,1517119.53210674,2017-12-31T00:00:00Z
5066556120,1071341.75281003,2018-12-31T00:00:00Z
5066556120,1243734.6213433,2019-12-31T00:00:00Z
5066556120,1209386.91288077,2020-12-31T00:00:00Z
5066556777,2080476.93386728,2015-12-31T00:00:00Z
5066556777,2328123.19092277,2016-12-31T00:00:00Z
5066556777,3504203.72852443,2017-12-31T00:00:00Z
5066556777,4531005.82263535,2018-12-31T00:00:00Z
5066556777,4882894.37710745,2019-12-31T00:00:00Z
5066607259,14582682.8661282,2015-12-31T00:00:00Z
5066607259,10186059.9745282,2016-12-31T00:00:00Z
5066607259,8214816.61995857,2017-12-31T00:00:00Z
5066607259,2735596.79118386,2018-12-31T00:00:00Z
5066607259,2857126.58343206,2019-12-31T00:00:00Z
5066607259,2501661.24575945,2020-12-31T00:00:00Z
5066620092,532244.992474239,2016-12-31T00:00:00Z
5066620092,1171073.47386377,2017-12-31T00:00:00Z
5066620092,1134198.43263454,2018-12-31T00:00:00Z
5066620092,1044495.58006015,2019-12-31T00:00:00Z
5066620092,894274.822509006,2020-12-31T00:00:00Z
5066620732,2336690.98066458,2016-12-31T00:00:00Z
5066620732,2363835.74996954,2017-12-31T00:00:00Z
5066620732,2501996.82822647,2018-12-31T00:00:00Z
5066620732,2316595.27932197,2019-12-31T00:00:00Z
5066621268,1992465.8928935,2015-12-31T00:00:00Z
5066621268,3077804.79333102,2016-12-31T00:00:00Z
5066621268,3532715.97416839,2017-12-31T00:00:00Z
5066621268,3105444.10617338,2018-12-31T00:00:00Z
5066621268,3111273.12494304,2019-12-31T00:00:00Z
5066621268,3478823.48826636,2020-12-31T00:00:00Z
5066621491,5829903.2894957,2011-12-31T00:00:00Z
5066621491,7219485.88890886,2012-12-31T00:00:00Z
5066621491,7164663.79836144,2013-12-31T00:00:00Z
5066621491,5841675.5888651,2014-12-31T00:00:00Z
5066625433,2252200.27602434,2015-12-31T00:00:00Z
5066625433,2420284.82111844,2016-12-31T00:00:00Z
5066625433,2963811.38052882,2017-12-31T00:00:00Z
5066625433,2756317.50147592,2018-12-31T00:00:00Z
5066625433,3158320.4228561,2019-12-31T00:00:00Z
5066625433,3147623.54422411,2020-12-31T00:00:00Z
5067159856,,
5067168389,913366.638235652,2017-12-31T00:00:00Z
5067168389,1569680.62324192,2018-12-31T00:00:00Z
5067168389,1599152.46514171,2019-12-31T00:00:00Z
5067168389,1567050.21042446,2020-12-31T00:00:00Z
5067169661,84164.8001085998,2015-12-31T00:00:00Z
5067169661,5277642.70001158,2016-12-31T00:00:00Z
5067169661,293651.760692092,2017-12-31T00:00:00Z
5067169661,216467.755565073,2018-12-31T00:00:00Z
5067169661,4748131.77800055,2019-12-31T00:00:00Z
5067169661,251226.990288998,2020-12-31T00:00:00Z
5067176082,,
5067179420,72842419.8701432,2010-12-31T00:00:00Z
5067179420,48039688.1169896,2011-12-31T00:00:00Z
5067179420,57857091.4973935,2012-12-31T00:00:00Z
5067179420,51459373.9182039,2013-12-31T00:00:00Z
5067179420,41349571.7344754,2014-12-31T00:00:00Z
5067179420,34876354.6686577,2015-12-31T00:00:00Z
5067179420,17416695.6119023,2016-12-31T00:00:00Z
5067179420,17739612.5258925,2017-12-31T00:00:00Z
5067179420,21458668.549666,2018-12-31T00:00:00Z
5067179420,30233755.5818828,2019-12-31T00:00:00Z
5067179420,29658890.8707259,2020-12-31T00:00:00Z
5067452384,,
5067485444,,
5067496226,185024306.64848,2020-12-31T00:00:00Z
5067496226,185024306.64848,2020-12-31T00:00:00Z
5067504105,,
5067508797,3393.74193986289,2015-12-31T00:00:00Z
5067508797,13993284.7053375,2016-12-31T00:00:00Z
5067508797,6318386.74302425,2017-12-31T00:00:00Z
5067508797,8583120.14539225,2018-12-31T00:00:00Z
5067508797,7633851.27130229,2019-12-31T00:00:00Z
5067508797,208908.940416652,2020-12-31T00:00:00Z
5067840337,,
5067945633,,
5068308116,134858.25413546,2018-12-31T00:00:00Z
5068308116,157887.542148911,2019-12-31T00:00:00Z
5068308116,1721283.76409144,2020-12-31T00:00:00Z
5068340548,150194919.502442,2020-12-31T00:00:00Z
5068340548,150194919.502442,2020-12-31T00:00:00Z
5068476941,13218683.0835118,2014-12-31T00:00:00Z
5068476941,11400257.9243874,2015-12-31T00:00:00Z
5068476941,15480722.4730809,2016-12-31T00:00:00Z
5068476941,21982088.4610698,2017-12-31T00:00:00Z
5068476941,28038709.528054,2018-12-31T00:00:00Z
5068476941,27945069.7165771,2019-12-31T00:00:00Z
5068476941,21168234.6495063,2020-12-31T00:00:00Z
5068481659,92906655.4751163,2020-12-31T00:00:00Z
5068481659,92906655.4751163,2020-12-31T00:00:00Z
5068481981,,
5068485207,,
5069410287,,
5071150165,1504.85605473046,2018-12-31T00:00:00Z
5071150165,576787455.57277,2019-12-31T00:00:00Z
5071153616,30967486.2145747,2020-12-31T00:00:00Z
5071153616,30967486.2145747,2020-12-31T00:00:00Z
5071514732,5094940.37281463,2016-12-31T00:00:00Z
5071514732,4164859.26647983,2017-12-31T00:00:00Z
5071514732,3503304.8954125,2018-12-31T00:00:00Z
5071532292,1537523.92235487,2019-12-31T00:00:00Z
5071532292,3599249.23349538,2020-12-31T00:00:00Z
5071536410,9415421.30181625,2018-12-31T00:00:00Z
5071536410,31881436.2526201,2019-12-31T00:00:00Z
5071536410,34370999.8950792,2020-12-31T00:00:00Z
5071555001,,
5071561715,,
5072804455,,
5072805138,,
5073093345,9702327.28158889,2017-12-31T00:00:00Z
5073093345,8638336.78678505,2018-12-31T00:00:00Z
5073093345,19964572.1315957,2019-12-31T00:00:00Z
5073093345,19352988.4936873,2020-12-31T00:00:00Z
5073151627,,
5073157223,,
5073345851,,
5073622555,52356955.6401761,2013-12-31T00:00:00Z
5073622555,45156584.5824411,2014-12-31T00:00:00Z
5073622555,36970859.0692097,2015-12-31T00:00:00Z
5073622555,39246150.2836633,2016-12-31T00:00:00Z
5073622555,42972949.9207993,2017-12-31T00:00:00Z
5073622555,42217116.0012502,2018-12-31T00:00:00Z
5073622555,982339582.363428,2021-12-31T00:00:00Z
5073651375,1407317.35556327,2016-12-31T00:00:00Z
5073651375,4180943.09735592,2017-12-31T00:00:00Z
5073651375,4310023.49890609,2018-12-31T00:00:00Z
