Instrument,Cost of Operating Revenue,Date
5040936224,954121.232774528,2015-12-31T00:00:00Z
5040936224,1181874.11471732,2016-12-31T00:00:00Z
5040936224,1136919.38858528,2017-12-31T00:00:00Z
5040936224,1144809.27759167,2018-12-31T00:00:00Z
5040936224,896995.87820048,2019-12-31T00:00:00Z
5040936224,924404.460374215,2020-12-31T00:00:00Z
5040936236,1386314.88048359,2011-12-31T00:00:00Z
5040936236,1646562.14152157,2012-12-31T00:00:00Z
5040936236,2882336.88024445,2013-12-31T00:00:00Z
5040936236,2219433.93319047,2014-12-31T00:00:00Z
5040936236,1915700.42203244,2015-12-31T00:00:00Z
5040936236,2066283.49308953,2016-12-31T00:00:00Z
5040936236,1629931.62025663,2017-12-31T00:00:00Z
5040936236,1819962.67043496,2018-12-31T00:00:00Z
5040936236,1324792.16249061,2019-12-31T00:00:00Z
5040936236,1445428.55047783,2020-12-31T00:00:00Z
5040936237,2630086.51119043,2014-12-31T00:00:00Z
5040936237,2640116.59511868,2015-12-31T00:00:00Z
5040936237,2761082.93735714,2016-12-31T00:00:00Z
5040936237,2902971.31058561,2017-12-31T00:00:00Z
5040936237,2958745.98878267,2018-12-31T00:00:00Z
5040936237,2024326.1025024,2019-12-31T00:00:00Z
5040936237,2245896.47191645,2020-12-31T00:00:00Z
5040936268,,
5040936277,1691347.04096123,2011-12-31T00:00:00Z
5040936277,2349896.11647962,2012-12-31T00:00:00Z
5040936277,1190882.19976772,2013-12-31T00:00:00Z
5040936277,954846.827682848,2014-12-31T00:00:00Z
5040936277,936346.436489124,2015-12-31T00:00:00Z
5040936277,1112751.70002174,2016-12-31T00:00:00Z
5040936277,1036161.30046183,2017-12-31T00:00:00Z
5040936277,1050853.50488998,2018-12-31T00:00:00Z
5040936277,1111292.1290919,2019-12-31T00:00:00Z
5040936277,1136760.44059864,2020-12-31T00:00:00Z
5040936425,3710956.57682428,2011-12-31T00:00:00Z
5040936425,3443187.22069017,2012-12-31T00:00:00Z
5040936425,3718611.42270148,2013-12-31T00:00:00Z
5040936425,3543072.24274382,2014-12-31T00:00:00Z
5040936425,3692434.25492446,2015-12-31T00:00:00Z
5040936425,3679934.34650008,2016-12-31T00:00:00Z
5040936425,3602101.65041334,2017-12-31T00:00:00Z
5040936425,3751590.05502324,2018-12-31T00:00:00Z
5040936425,3224112.11863969,2019-12-31T00:00:00Z
5040936425,3683965.62378278,2020-12-31T00:00:00Z
5040936593,5810085.33437014,2011-12-31T00:00:00Z
5040936593,4666922.94271775,2012-12-31T00:00:00Z
5040936593,4101321.99233507,2013-12-31T00:00:00Z
5040936593,3794875.49018411,2014-12-31T00:00:00Z
5040936593,3247194.25286631,2015-12-31T00:00:00Z
5040936593,3189403.5553156,2016-12-31T00:00:00Z
5040936593,3575822.19714076,2017-12-31T00:00:00Z
5040936593,3416103.99752296,2018-12-31T00:00:00Z
5040936593,3059181.35229545,2019-12-31T00:00:00Z
5040936593,3586586.9146191,2020-12-31T00:00:00Z
5040936670,4477557.61282256,2011-12-31T00:00:00Z
5040936670,4227575.8328406,2012-12-31T00:00:00Z
5040936670,4019057.10353533,2013-12-31T00:00:00Z
5040936670,3438499.08625314,2014-12-31T00:00:00Z
5040936670,2735827.03665547,2015-12-31T00:00:00Z
5040936670,2876803.3936837,2016-12-31T00:00:00Z
5040936670,2705814.85930559,2017-12-31T00:00:00Z
5040936670,2943250.6650125,2018-12-31T00:00:00Z
5040936670,3190443.49323424,2019-12-31T00:00:00Z
5040936670,3425000.1190189,2020-12-31T00:00:00Z
5040936695,4700713.15639806,2010-12-31T00:00:00Z
5040936695,8198163.71317689,2011-12-31T00:00:00Z
5040936695,7045213.99579342,2012-12-31T00:00:00Z
5040936695,8684651.51117796,2013-12-31T00:00:00Z
5040936695,9469680.28221221,2014-12-31T00:00:00Z
5040936695,8985843.16828246,2015-12-31T00:00:00Z
5040936695,9116769.79203844,2016-12-31T00:00:00Z
5040936695,8687115.30692242,2017-12-31T00:00:00Z
5040936695,9742008.43731646,2018-12-31T00:00:00Z
5040936695,7379912.4490902,2019-12-31T00:00:00Z
5040936695,8051395.39687651,2020-12-31T00:00:00Z
5040936962,2772683.0379389,2010-12-31T00:00:00Z
5040936962,3276191.93333156,2011-12-31T00:00:00Z
5040936962,3901808.46934767,2012-12-31T00:00:00Z
5040936962,5125119.60429213,2013-12-31T00:00:00Z
5040936962,3752377.72339109,2014-12-31T00:00:00Z
5040936962,3235261.52249289,2015-12-31T00:00:00Z
5040936962,5667163.56265415,2020-12-31T00:00:00Z
5040936962,5667163.56265415,2020-12-31T00:00:00Z
5040936963,3514749.59837997,2011-12-31T00:00:00Z
5040936963,4498102.13786484,2012-12-31T00:00:00Z
5040936963,6267460.41004759,2013-12-31T00:00:00Z
5040936963,5865487.65576606,2014-12-31T00:00:00Z
5040936963,3175970.76844997,2015-12-31T00:00:00Z
5040936963,4774094.50050025,2016-12-31T00:00:00Z
5040936963,6047422.94294785,2017-12-31T00:00:00Z
5040936963,3966679.90640446,2018-12-31T00:00:00Z
5040936963,7173805.86383795,2019-12-31T00:00:00Z
5040936963,4401560.31737892,2020-12-31T00:00:00Z
5040937024,1695278.32832532,2011-12-31T00:00:00Z
5040937024,2257999.7762233,2012-12-31T00:00:00Z
5040937024,3012802.52169498,2013-12-31T00:00:00Z
5040937024,3737097.62746551,2014-12-31T00:00:00Z
5040937024,3967259.95133723,2015-12-31T00:00:00Z
5040937024,4346965.6483124,2016-12-31T00:00:00Z
5040937024,5493132.35479757,2017-12-31T00:00:00Z
5040937024,6855450.98070119,2018-12-31T00:00:00Z
5040937024,7657337.37261683,2019-12-31T00:00:00Z
5040937024,8248819.26397616,2020-12-31T00:00:00Z
5040937027,2130936.44621898,2011-12-31T00:00:00Z
5040937027,2740025.33625694,2012-12-31T00:00:00Z
5040937027,4280158.70711712,2013-12-31T00:00:00Z
5040937027,3220598.55164773,2014-12-31T00:00:00Z
5040937027,1859392.85058288,2015-12-31T00:00:00Z
5040937027,4447669.85592924,2016-12-31T00:00:00Z
5040937027,5942305.12985752,2017-12-31T00:00:00Z
5040937027,2506553.08796577,2018-12-31T00:00:00Z
5040937027,2040364.19771243,2019-12-31T00:00:00Z
5040937027,1981064.77985354,2020-12-31T00:00:00Z
5040937038,4042792.96932983,2011-12-31T00:00:00Z
5040937038,4105907.83178962,2012-12-31T00:00:00Z
5040937038,3986014.89147083,2013-12-31T00:00:00Z
5040937038,3801878.86748333,2014-12-31T00:00:00Z
5040937038,2999092.90051899,2015-12-31T00:00:00Z
5040937038,2778601.89418516,2016-12-31T00:00:00Z
5040937038,2963280.83929411,2017-12-31T00:00:00Z
5040937038,2711681.65978045,2018-12-31T00:00:00Z
5040937038,,2019-12-31T00:00:00Z
5040937038,,2020-12-31T00:00:00Z
5040937050,2231005.57912318,2011-12-31T00:00:00Z
5040937050,3748475.81172897,2012-12-31T00:00:00Z
5040937050,1798756.70934596,2013-12-31T00:00:00Z
5040937050,1961900.64977809,2014-12-31T00:00:00Z
5040937050,1324408.77217465,2015-12-31T00:00:00Z
5040937050,1161614.09661689,2016-12-31T00:00:00Z
5040937050,1208612.64359619,2017-12-31T00:00:00Z
5040937050,1847140.97641281,2018-12-31T00:00:00Z
5040937050,,2019-12-31T00:00:00Z
5040937050,,2020-12-31T00:00:00Z
5040937078,7066846.42671883,2011-12-31T00:00:00Z
5040937078,7372874.35505942,2012-12-31T00:00:00Z
5040937078,7079719.7365196,2013-12-31T00:00:00Z
5040937078,6464913.08551329,2014-12-31T00:00:00Z
5040937078,4727971.51264261,2015-12-31T00:00:00Z
5040937078,5825708.61648952,2016-12-31T00:00:00Z
5040937078,5116742.76599026,2017-12-31T00:00:00Z
5040937078,5042006.18455051,2018-12-31T00:00:00Z
5040937078,5099204.31393958,2019-12-31T00:00:00Z
5040937078,3965542.61413561,2020-12-31T00:00:00Z
5040937092,4656431.18788882,2011-12-31T00:00:00Z
5040937092,4829720.5792018,2012-12-31T00:00:00Z
5040937092,3584398.72627457,2013-12-31T00:00:00Z
5040937092,3398707.16978027,2014-12-31T00:00:00Z
5040937092,2525512.66382398,2015-12-31T00:00:00Z
5040937092,2593401.49343184,2016-12-31T00:00:00Z
5040937092,2818683.29455926,2017-12-31T00:00:00Z
5040937092,2554145.86811702,2018-12-31T00:00:00Z
5040937092,,2019-12-31T00:00:00Z
5040937092,,2020-12-31T00:00:00Z
5040937101,1843647.71688601,2010-12-31T00:00:00Z
5040937101,1763003.68791585,2011-12-31T00:00:00Z
5040937101,2876321.03191801,2012-12-31T00:00:00Z
5040937101,2171077.71745412,2013-12-31T00:00:00Z
5040937101,,2014-12-31T00:00:00Z
5040937101,,2015-12-31T00:00:00Z
5040937101,,2016-12-31T00:00:00Z
5040937101,953689.836505012,2017-12-31T00:00:00Z
5040937101,1144686.29883158,2018-12-31T00:00:00Z
5040937101,2997417.62393343,2019-12-31T00:00:00Z
5040937137,7512332.76302272,2011-12-31T00:00:00Z
5040937137,5884119.22480199,2012-12-31T00:00:00Z
5040937137,5822242.15058065,2013-12-31T00:00:00Z
5040937137,6781815.90830318,2014-12-31T00:00:00Z
5040937137,3303253.22576642,2015-12-31T00:00:00Z
5040937137,3504268.07191166,2016-12-31T00:00:00Z
