Instrument,Sales per Employee,Date
5073652295,315232.254308652,2017
5073652295,262998.676498393,2018
5073652295,275778.792459234,2019
5073652295,307301.320836102,2020
5073665798,1263907.50443389,2017
5073665798,1482833.06516027,2018
5073665798,1065598.51453568,2019
5073665798,2362320.61460264,2020
5073665865,117380.365461272,2017
5073665865,69216.8261690318,2018
5073665865,168101.688866561,2019
5073665865,164157.781305222,2020
5073665871,111525.566294705,2017
5073665871,160166.713036458,2018
5073665871,314220.466278191,2019
5073665871,299469.733684402,2020
5073666464,238695.484916732,2016
5073666464,384506.257724243,2017
5073666464,368954.323484519,2018
5073666464,390503.96427595,2019
5073666464,286487.548055065,2020
5073666482,72518.6696769712,2016
5073666482,95266.8257231238,2017
5073666482,119868.553668523,2018
5073666482,113201.691621449,2019
5073666482,97519.9208468574,2020
5073666678,132569.179113118,2016
5073666678,163573.101552874,2017
5073666678,157027.505702653,2018
5073666678,114338.756516699,2019
5073666678,102063.464959772,2020
5073666772,261664.92995253,2016
5073666772,87760.4483977093,2017
5073666772,594070.867144362,2018
5073666772,105903.885294207,2019
5073666772,123379.071023599,2020
5073666805,401991.432210258,2016
5073666805,1050712.8061411,2017
5073666805,1207866.9244215,2018
5073666805,1789642.75950059,2019
5073666805,2697420.11448023,2020
5073667000,213801.790043541,2016
5073667000,235534.125920381,2017
5073667000,262748.431829879,2018
5073667000,203909.596281783,2019
5073667000,243313.093486212,2020
5074624637,891393.525851915,2017
5074624637,1063266.2432123,2018
5076950843,329022.263224773,2017
5076950843,373352.32951753,2020
5078521579,3873.1431695981,2019
5079242370,548474.879168189,2017
5079242370,453270.360895351,2018
5079242370,408844.436343753,2019
5081414354,274719.766700082,2019
5081414354,236095.081546765,2020
5081414396,495400.474962608,2019
5081414396,416652.094335443,2020
5081414745,533822.252706403,2019
5081414745,492597.785641538,2020
5081414822,98565.7296567918,2018
5081414822,200122.753093682,2019
5081414847,322971.893578356,2019
5081414847,264452.190448063,2020
5081414874,60623.9745293994,2018
5081414874,100590.265052152,2019
5081414901,385958.716850451,2019
5081414901,811643.875540634,2020
5081415017,357530.646972345,2018
5081415017,350667.125705857,2019
5081415017,310074.227291728,2020
5081415042,102791.676922094,2019
5081415042,181297.000546009,2020
5081415081,217371.071353089,2019
5081415081,221112.60543744,2020
5081415151,82122.569250064,2019
5081415151,186153.898251264,2020
5081415194,2007709.49332654,2018
5081415194,1911168.32224551,2019
5081415196,1409573.49858744,2019
5081415196,2002844.51905478,2020
5081415371,154324.469040211,2018
5081415371,459827.727619832,2019
