Instrument,Cost of Revenues - Total,Date
5081875614,,
5081875619,,
5081875639,,
5081875646,,
5081875647,,
5081875659,13369430.9257566,2020-12-31T00:00:00Z
5081875669,,
5081875679,,
5081875687,,
5081875690,,
5081875695,24160920.6609491,2020-12-31T00:00:00Z
5081875701,34245431.5736585,2017-12-31T00:00:00Z
5081875701,29705870.8319811,2018-12-31T00:00:00Z
5081875706,42461727.9560065,2019-12-31T00:00:00Z
5081875706,41835740.4048741,2020-12-31T00:00:00Z
5081875736,,
5081875741,,
5081875746,7578745.98277394,2018-12-31T00:00:00Z
5081875746,9212154.56853033,2019-12-31T00:00:00Z
5081875746,11443589.5141654,2020-12-31T00:00:00Z
5081875750,,
5081875762,,
5081875764,,
5081875766,,
5081875770,6432806.8888585,2017-12-31T00:00:00Z
5081875770,7114961.22959273,2018-12-31T00:00:00Z
5081875777,,
5081875780,,
5081875792,,
5081875796,,
5081875805,,
5081875810,,
5081875813,,
5081875818,,
5081875827,,
5081875831,,
5081875832,,
5081875835,,
5081875841,,
5081875847,,
5081875850,,
5081875865,,
5081875873,,
5081875878,,
5081875886,,
5081875888,,
5081875890,,
5081875894,,
5081875903,,
5081875906,1468.90263426076,2017-12-31T00:00:00Z
5081875906,1497681.57546872,2018-12-31T00:00:00Z
5081875906,-754550.05380543,2019-12-31T00:00:00Z
5081875906,5719180.06470312,2020-12-31T00:00:00Z
5081875907,,
5081875916,,
5081875918,,
5081875926,,
5081875938,,
5081875939,,
5081875940,,
5081875945,,
5081875954,,
5081875964,45295065.8590429,2018-12-31T00:00:00Z
5081875964,56409499.3530837,2019-12-31T00:00:00Z
5081875964,9383031.60395035,2020-12-31T00:00:00Z
5081875968,,
5081875977,,
5081875994,0.0,2017-12-31T00:00:00Z
5081875994,24979664.3605771,2018-12-31T00:00:00Z
5081875994,31351113.6786266,2019-12-31T00:00:00Z
5081875994,34046879.4157786,2020-12-31T00:00:00Z
5081875996,,
5081876001,,
5081876005,3787915.84277204,2017-12-31T00:00:00Z
5081876005,7613018.28914687,2018-12-31T00:00:00Z
5081876005,7383041.00454297,2019-12-31T00:00:00Z
5081876005,6042768.28109753,2020-12-31T00:00:00Z
5081876007,40939286.5726879,2020-12-31T00:00:00Z
5081876020,,
5081876026,5093517.07958878,2017-12-31T00:00:00Z
5081876026,6255045.27546947,2018-12-31T00:00:00Z
5081876026,6080701.58420593,2019-12-31T00:00:00Z
5081876026,6533842.01079084,2020-12-31T00:00:00Z
5081876030,,
5081876053,,
5081876057,,
5081876058,,
5081876061,,
5081876066,,
5081876079,,
5081876080,,
5081876081,35915322.1907193,2020-12-31T00:00:00Z
5081876083,,
5081876085,,
5081876093,,
5081876102,,
5081876107,,
5081876109,,
5081876117,,
5081876118,8429398.91741359,2020-12-31T00:00:00Z
5081876123,84101392.4101881,2020-12-31T00:00:00Z
5081876128,,
5081876134,,
5081876138,,
5081876139,,
5081876140,,
5081876142,,
5081876158,,
5081876166,,
5081876167,,
5081876170,,
5081876171,,
5081876191,,
5081876195,,
5081876200,,
5081876208,6717832.20882766,2019-12-31T00:00:00Z
5081876208,5396010.71588657,2020-12-31T00:00:00Z
5081876210,,
5081876228,11417836.3862832,2019-12-31T00:00:00Z
5081876228,18008358.3467048,2020-12-31T00:00:00Z
5081876232,,
5081876235,,
