Instrument,Revenue from Business Activities - Total,Date
5083257071,15603317.4417225,2016
5083257071,16867895.4140428,2017
5083257071,15603314.697701,2018
5083257071,13242376.4617108,2019
5083257071,8499059.77515886,2020
5083257071,7521709.9364333,2021
5083257074,14780798.4363417,2019
5083257122,19808259.355391,2017
5083257200,23217446.3375782,2019
5083257200,19554208.7061433,2020
5083257419,6155091.46393751,2018
5083257435,26055396.004485,2015
5083257687,18761975.40102,2016
5083257687,7264000.73132542,2017
5083257687,4960524.30164306,2018
5083257687,4433658.24505137,2019
5083257705,12756405.6424732,2017
5083257914,3739099.76719681,2018
5083258075,8774998.22300518,2019
5083258081,8132914.05278993,2020
5083258573,4084715.10848069,2020
5083258871,12854474.5338667,2019
5083258871,13992484.5826271,2020
5083258897,5507464.85944024,2019
5083259292,11157811.1871783,2020
5083259424,6169533.31873435,2020
5083259525,5943976.55861026,2018
5083260410,8083659.69181449,2020
5083260512,5409516.18643304,2019
5083260767,5459701.83462405,2016
5083260810,13519738.1628731,2020
5083260874,8929332.29203057,2019
5083260874,7415402.05284293,2020
5083261244,9147031.34065535,2019
5083261263,7426609.90941195,2016
5083261901,31223868.0059497,2020
5083261927,5497805.74060374,2020
5083262096,6671845.51761045,2017
5083262311,10898078.6703807,2019
5083262542,9804920.07892062,2017
5083262792,15487167.4433969,2017
5083262792,15224553.9255935,2018
5083262882,2432096.07492421,2016
5083263077,4979057.54453295,2019
5083263429,4332080.78335378,2019
5083263483,2221888.31926872,2019
5083263494,19313931.7590261,2019
5083263739,5887912.52729111,2017
5083263874,10739024.6487871,2016
5083264010,13619647.5067573,2015
5083264024,10121075.4686431,2016
5083264100,15143942.1882102,2020
5083264434,10833288.5686245,2018
5083264513,40201009.860117,2018
5083264573,9798733.40708164,2014
5083264573,9295486.81443443,2020
5083264605,5576782.5607885,2020
5083264765,8651117.9659856,2015
5083264908,11927082.1729493,2018
5083264964,9770193.95120358,2013
5083264964,11182312.4359858,2014
5083264964,13141045.5436138,2016
5083264964,15367324.3359074,2017
5083264964,18502430.9800513,2018
5083264964,16452875.8255575,2019
5083264964,16269222.0206327,2020
5083264993,961443.553465465,2019
5083265265,6040434.23087185,2018
5083265385,17311384.9440947,2008
5083265385,15465394.2712736,2009
5083265385,18855263.4526999,2010
5083265385,23220128.1360973,2011
5083265385,23943781.2342521,2012
5083265385,25686131.8323238,2013
5083265385,27110944.9816337,2014
5083265385,25918848.6081734,2015
5083265385,26140310.4248548,2016
5083265385,29243255.9230653,2017
5083265385,28942223.1782294,2018
5083265385,27098393.6140421,2019
5083265385,27899400.0726102,2020
