Instrument,Total Assets,Date,Total Fixed Assets - Net,Revenue from Business Activities - Total,Intangible Assets - Gross - Total,Full-Time Employees (Pvt),Salaries and Wages from CSR reporting,Revenue from Goods & Services (ASR),Operating Profit before Non-Recurring Income/Expense,Sales per Employee,Labor & Related Expenses - Total,"Employees Full-Time/Full-Time Equiv Period End (BUS,ASR)",Cost of Operating Revenue,Market Capitalization,International/Export Sales - Geographic Segment,Cost of Revenues - Total,Stock Based Compensation - Mean,Labor Expenses including Stock-Based Compensation in COGS,Intangible Assets - excluding Goodwill - Gross - Total (ASR)
5060884698,31682.6093736879,2017,,,,,,,,,,,,,,,,,
5060884698,17291.4372878246,2018,,,,,,,,,,,,,,,,,
5060884698,10338.4301504383,2019,,,,,,,,,,,,,,,,,
5060884698,6338.45872007816,2020,,,,,,,,,,,,,,,,,
5060884704,43609.1764426439,2006,,,,,,,,,,,,,,,,,
5060884704,49335.2104456926,2007,,,,,,,,,,,,,,,,,
5060884704,49709.1877384996,2008,,,,,,,,,,,,,,,,,
5060884704,53553.3842982305,2009,,,,7.0,,,,,,,,,,,,,
5060884704,52611.2500836064,2010,,,,7.0,,,,,,,,,,,,,
5060884704,37577.2297734628,2011,,,,7.0,,,,,,,,,,,,,
5060884704,40886.2808739709,2012,,,,7.0,,,,,,,,,,,,,
5060884704,43109.5384987601,2014,,,,7.0,,,,,,,,,,,,,
5060884704,41380.3390493153,2015,,,,,,,,,,,,,,,,,
5060884704,42433.3052985702,2016,,,,,,,,,,,,,,,,,
5060884704,51756.6367965835,2017,,,,,,,,,,,,,,,,,
5060884704,52870.3206716213,2018,,,,7.0,,,,,,,,,,,,,
5060884704,55125.7426630496,2019,,,,7.0,,,,,,,,,,,,,
5060884707,26560.0820016821,2016,,,,,,,,,,,,,,,,,
5060884707,31036.5278727463,2017,,,,,,,,,,,,,,,,,
5060884707,29469.9169648592,2018,,,,,,,,,,,,,,,,,
5060884707,28686.512118019,2019,,,,,,,,,,,,,,,,,
5060884707,31126.8075232047,2020,,,,,,,,,,,,,,,,,
5060884717,77776.5270978214,2006,,,,,,,,,,,,,,,,,
5060884717,91322.4305200963,2007,,,,,,,,,,,,,,,,,
5060884717,93681.9026851735,2008,,,,,,,,,,,,,,,,,
