Instrument,Full-Time Employees (Pvt),Date
5060886021,1.0,2016
5060886021,1.0,2019
5060886029,1.0,2017
5060886054,1.0,2017
5060886061,1.0,2011
5060886061,1.0,2012
5060886061,1.0,2013
5060886061,2.0,2014
5060886061,2.0,2015
5060886061,1.0,2016
5060886061,2.0,2017
5060886087,1.0,2012
5060886087,1.0,2013
5060886087,1.0,2016
5060886087,1.0,2017
5060886094,1.0,2016
5060886094,1.0,2017
5060886106,1.0,2011
5060886134,1.0,2016
5060886134,1.0,2017
5060886145,1.0,2012
5060886145,1.0,2013
5060886145,1.0,2014
5060886146,1.0,2009
5060886146,1.0,2010
5060886146,1.0,2011
5060886146,1.0,2012
5060886146,1.0,2013
5060886151,1.0,2012
5060886151,1.0,2013
5060886151,2.0,2014
5060886151,1.0,2015
5060886151,2.0,2016
5060886151,2.0,2017
5060886162,1.0,2011
5060886162,1.0,2012
5060886162,2.0,2015
5060886162,2.0,2016
5060886162,2.0,2017
5060886176,1.0,2016
5060886176,1.0,2017
5060886176,1.0,2018
5060886179,1.0,2011
5060886179,2.0,2016
5060886179,2.0,2017
5060886179,2.0,2019
5060886179,2.0,2020
5060886191,15.0,2011
5060886191,15.0,2014
5060886191,15.0,2015
5060886191,15.0,2016
5060886191,15.0,2017
5060886210,1.0,2011
5060886210,1.0,2012
5060886210,2.0,2014
5060886210,2.0,2015
5060886210,2.0,2016
5060886210,2.0,2017
5060886215,1.0,2011
5060886215,1.0,2012
5060886215,1.0,2013
5060886215,10.0,2014
5060886215,10.0,2015
5060886215,10.0,2016
5060886215,10.0,2017
5060886232,4.0,2010
5060886232,4.0,2011
5060886236,1.0,2009
5060886236,1.0,2010
5060886236,1.0,2011
5060886236,1.0,2012
5060886236,2.0,2015
5060886236,2.0,2016
5060886236,2.0,2017
5060886236,2.0,2019
5060886236,2.0,2020
5060886237,1.0,2011
5060886237,1.0,2014
5060886237,1.0,2015
5060886237,1.0,2016
5060886237,1.0,2017
5060886243,7.0,2011
5060886243,1.0,2012
5060886243,1.0,2013
5060886243,1.0,2014
5060886243,1.0,2015
5060886243,1.0,2016
5060886243,1.0,2017
5060886245,1.0,2015
5060886245,1.0,2016
5060886245,1.0,2017
5060886255,35.0,2010
5060886255,35.0,2011
5060886255,35.0,2012
5060886255,35.0,2013
5060886255,20.0,2015
5060886255,20.0,2016
5060886257,4.0,2011
5060886257,4.0,2016
5060886257,4.0,2017
5060886259,7.0,2011
5060886259,4.0,2012
5060886259,4.0,2013
5060886259,5.0,2014
5060886259,5.0,2015
5060886259,5.0,2016
5060886259,5.0,2017
5060886274,1.0,2012
5060886274,1.0,2013
5060886274,1.0,2014
5060886274,1.0,2015
5060886339,1.0,2016
5060886344,1.0,2009
5060886344,1.0,2010
5060886344,1.0,2011
5060886389,4.0,2009
5060886389,4.0,2010
5060886389,4.0,2011
5060886389,4.0,2015
5060886389,4.0,2016
5060886389,4.0,2017
5060886396,1.0,2015
5060886396,1.0,2016
5060886396,1.0,2017
5060886396,1.0,2019
5060886396,1.0,2020
5060886414,1.0,2012
5060886414,1.0,2013
5060886414,1.0,2014
5060886418,1.0,2016
5060886430,4.0,2012
5060886430,4.0,2013
5060886430,5.0,2014
5060886430,5.0,2015
5060886431,1.0,2016
5060886431,1.0,2017
5060886436,1.0,2016
5060886436,1.0,2017
5060886440,1.0,2015
5060886440,1.0,2016
5060886440,1.0,2017
5060886499,4.0,2009
5060886499,4.0,2010
5060886499,4.0,2011
5060886499,4.0,2012
5060886499,4.0,2013
5060886499,3.0,2014
5060886499,3.0,2015
5060886499,3.0,2016
5060886499,3.0,2017
5060886522,1.0,2012
5060886525,1.0,2009
5060886525,1.0,2010
5060886525,1.0,2011
5060886525,1.0,2012
5060886525,1.0,2013
5060886525,1.0,2014
5060886586,1.0,2016
5060886586,1.0,2017
5060886603,4.0,2009
5060886603,4.0,2010
5060886603,4.0,2011
5060886603,4.0,2012
5060886603,4.0,2013
5060886603,3.0,2014
5060886603,3.0,2015
5060886603,3.0,2016
5060886603,3.0,2017
5060886614,1.0,2016
5060886614,1.0,2017
5060886617,15.0,2012
5060886617,15.0,2013
5060886617,11.0,2014
5060886617,11.0,2015
5060886617,11.0,2016
5060886617,11.0,2017
5060886650,6.0,2016
5060886650,6.0,2017
5060886664,1.0,2014
5060886664,1.0,2015
5060886664,6.0,2016
5060886664,6.0,2017
5060886674,1.0,2010
5060886674,1.0,2011
5060886674,1.0,2013
5060886674,1.0,2014
5060886680,1.0,2019
5060886680,1.0,2020
5060886688,6.0,2016
5060886688,6.0,2017
5060886695,1.0,2012
5060886705,1.0,2009
5060886705,1.0,2010
5060886705,1.0,2011
5060886705,1.0,2012
5060886705,1.0,2013
5060886705,1.0,2014
5060886705,1.0,2015
5060886705,1.0,2016
5060886737,4.0,2009
5060886737,4.0,2010
5060886737,4.0,2011
5060886737,3.0,2015
5060886737,3.0,2016
5060886737,3.0,2017
5060886737,3.0,2019
5060886746,4.0,2011
5060886746,4.0,2012
5060886746,4.0,2013
5060886746,4.0,2014
5060886746,4.0,2015
5060886746,4.0,2016
5060886746,4.0,2017
5060886746,4.0,2020
5060886752,35.0,2011
5060886752,25.0,2015
5060886752,25.0,2016
5060886752,25.0,2017
5060886752,25.0,2019
5060886752,25.0,2020
5060886753,2.0,2015
5060886753,2.0,2016
5060886753,2.0,2017
5060886753,2.0,2019
5060886753,2.0,2020
5060886762,1.0,2009
5060886762,1.0,2010
5060886762,1.0,2011
5060886762,1.0,2012
5060886764,1.0,2013
5060886764,1.0,2015
5060886764,1.0,2016
5060886764,1.0,2017
5060886769,1.0,2012
5060886769,1.0,2015
5060886769,1.0,2016
5060886769,1.0,2017
5060886773,1.0,2011
5060886782,1.0,2012
5060886782,1.0,2017
5060886787,1.0,2016
5060886787,1.0,2017
5060886809,2.0,2016
5060886809,2.0,2017
5060886821,1.0,2012
5060886821,1.0,2013
5060886821,1.0,2014
5060886821,1.0,2015
5060886822,1.0,2011
5060886822,1.0,2012
5060886822,1.0,2013
5060886822,1.0,2014
5060886822,1.0,2015
5060886822,1.0,2016
5060886835,1.0,2009
5060886835,1.0,2010
5060886835,1.0,2011
5060886840,4.0,2012
5060886840,5.0,2014
5060886840,5.0,2015
5060886840,5.0,2016
5060886840,5.0,2017
5060886841,4.0,2011
5060886841,4.0,2019
5060886846,1.0,2009
5060886846,1.0,2010
5060886846,1.0,2011
5060886846,1.0,2012
5060886846,1.0,2013
5060886846,2.0,2014
5060886871,1.0,2010
5060886871,1.0,2011
5060886891,1.0,2011
5060886902,1.0,2016
5060886902,1.0,2017
5060886908,4.0,2009
5060886908,4.0,2010
5060886908,4.0,2011
5060886908,3.0,2016
5060886908,3.0,2017
5060886924,1.0,2011
5060886924,1.0,2012
5060886924,1.0,2013
5060886924,1.0,2015
5060886924,1.0,2016
5060886924,1.0,2017
5060886926,1.0,2011
5060886926,2.0,2015
5060886926,2.0,2016
5060886926,2.0,2017
5060886926,2.0,2019
5060886935,1.0,2009
5060886935,1.0,2010
5060886935,1.0,2011
5060886935,1.0,2012
5060886935,1.0,2015
5060886935,1.0,2016
5060886935,1.0,2017
5060886951,1.0,2016
5060886951,1.0,2017
5060886959,1.0,2016
5060886959,1.0,2017
5060886976,6.0,2015
5060886976,6.0,2016
5060886976,6.0,2017
5060887012,1.0,2011
5060887012,1.0,2019
5060887040,1.0,2012
5060887040,1.0,2013
5060887042,4.0,2009
5060887042,4.0,2010
5060887042,4.0,2011
5060887042,4.0,2012
5060887042,4.0,2013
5060887042,3.0,2014
5060887042,4.0,2015
5060887042,3.0,2016
5060887042,3.0,2017
5060887057,4.0,2010
5060887057,4.0,2011
5060887057,4.0,2012
5060887057,4.0,2013
5060887057,3.0,2014
5060887057,3.0,2015
5060887076,15.0,2016
5060887076,15.0,2017
5060887077,1.0,2012
5060887077,1.0,2015
5060887077,1.0,2016
5060887077,1.0,2017
5060887120,1.0,2009
5060887120,1.0,2010
5060887120,1.0,2011
5060887120,1.0,2012
5060887120,1.0,2015
5060887120,1.0,2016
5060887120,1.0,2017
5060887124,4.0,2011
5060887124,4.0,2012
5060887128,35.0,2009
5060887128,35.0,2016
5060887128,35.0,2017
5060887128,35.0,2018
5060887128,35.0,2019
5060887154,1.0,2011
5060887154,1.0,2015
5060887154,1.0,2016
5060887166,1.0,2011
5060887166,1.0,2012
5060887166,1.0,2015
5060887167,6.0,2016
5060887167,6.0,2017
5060887209,6.0,2016
5060887213,1.0,2013
5060887213,1.0,2014
5060887213,1.0,2015
5060887213,2.0,2016
5060887213,2.0,2017
5060887235,1.0,2011
5060887235,1.0,2012
5060887235,1.0,2013
5060887286,1.0,2011
5060887286,1.0,2012
5060887286,1.0,2013
5060887286,1.0,2014
5060887286,1.0,2015
5060887286,1.0,2016
5060887287,1.0,2016
5060887287,1.0,2017
5060887319,4.0,2009
5060887319,4.0,2010
5060887319,4.0,2011
5060887319,1.0,2015
5060887319,1.0,2016
5060887319,1.0,2017
5060887320,1.0,2009
5060887320,1.0,2010
5060887320,1.0,2011
5060887320,1.0,2012
5060887320,1.0,2013
5060887341,4.0,2009
5060887341,4.0,2010
5060887341,4.0,2011
5060887341,4.0,2012
5060887341,4.0,2013
5060887349,1.0,2011
5060887357,1.0,2009
5060887357,1.0,2010
5060887357,1.0,2011
5060887357,1.0,2012
5060887357,2.0,2016
5060887357,2.0,2017
5060887359,1.0,2011
5060887359,1.0,2012
5060887359,1.0,2013
5060887359,1.0,2014
5060887359,1.0,2015
5060887359,1.0,2016
5060887359,1.0,2017
5060887365,1.0,2015
5060887365,1.0,2016
5060887365,1.0,2017
5060887367,1.0,2009
5060887367,1.0,2010
5060887367,1.0,2011
5060887367,2.0,2015
5060887367,2.0,2016
5060887367,2.0,2017
5060887367,2.0,2018
5060887367,2.0,2019
5060887373,1.0,2011
5060887373,1.0,2016
5060887373,1.0,2017
5060887388,1.0,2011
5060887388,1.0,2012
5060887388,1.0,2019
5060887395,1.0,2011
5060887395,1.0,2012
5060887395,1.0,2013
5060887395,1.0,2014
5060887401,2.0,2016
5060887401,2.0,2017
5060887432,1.0,2011
5060887432,1.0,2014
5060887432,1.0,2015
5060887432,1.0,2016
5060887432,1.0,2017
5060887434,1.0,2011
5060887434,1.0,2012
5060887434,1.0,2015
5060887434,1.0,2016
5060887434,1.0,2017
5060887436,1.0,2011
5060887436,1.0,2012
5060887436,1.0,2013
5060887441,6.0,2016
5060887441,6.0,2017
5060887443,7.0,2011
5060887443,7.0,2012
5060887443,7.0,2013
5060887445,1.0,2009
5060887445,1.0,2010
5060887445,1.0,2011
5060887445,2.0,2015
5060887445,2.0,2016
5060887445,2.0,2017
5060887461,4.0,2009
5060887461,4.0,2010
5060887461,4.0,2011
