Instrument,Total Fixed Assets - Net,Date
5060879193,35186.4119633801,
5060879193,34062.2371740959,
5060879193,38867.0961240868,
5060879193,37159.372419488,
5060879193,36320.4268771159,
5060879196,,
5060879201,,
5060879210,,
5060879232,,
5060879233,,
5060879234,50507.3831171402,
5060879234,,
5060879234,48846.1162130806,
5060879234,48158.9646681555,
5060879234,51488.1947695806,
5060879234,47864.0776699029,
5060879234,,
5060879234,,
5060879234,,
5060879234,,
5060879234,,
5060879234,,
5060879234,,
5060879237,,
5060879239,,
5060879240,,
5060879243,,
5060879247,,
5060879250,288185.921657305,
5060879250,280105.81344963,
5060879250,283350.784515833,
5060879250,214447.287806836,
5060879250,204506.783171521,
5060879250,210923.263668989,
5060879250,103.667917195217,
5060879250,204448.125610397,
5060879250,175972.130617523,
5060879250,174432.099824193,
5060879250,25009.9516566443,
5060879251,213911.685849695,
5060879251,235325.545122259,
5060879251,94019.5197934354,
5060879251,102449.43050441,
5060879251,127390.726075479,
5060879251,113120.985810306,
5060879251,,
5060879251,153547.555482537,
5060879251,135414.711548098,
5060879251,67673.3771569433,
5060879251,88016.07210171,
5060879251,80392.8896885296,
5060879251,,
5060879251,111009.052213075,
5060879260,,
5060879260,681440.253689686,
5060879260,589591.042893188,
5060879260,963106.248725423,
5060879260,1102398.15579411,
5060879260,1354670.08945587,
5060879260,1245498.29018075,
5060879261,,
5060879261,6398.71417556282,
5060879261,6806.13961312027,
5060879261,18289.1280095008,
5060879261,16866.2262592898,
5060879261,10093.4690491671,
5060879261,55241.0356619443,
5060879266,,
5060879266,8001.19460040616,
5060879266,1334.29352396972,
5060879266,1749.56170897476,
5060879266,1749.56170897476,
5060879266,,
5060879266,,
5060879270,,
5060879279,,
5060879279,34702.6965389168,
5060879279,3269.28090832633,
5060879279,3754.9453581411,
5060879279,875.080282594733,
5060879281,2511.34095445473,
5060879281,7406.80487831366,
5060879281,14581.4550042052,
5060879281,,
5060879281,1.14689421047803,
5060879281,1.12100082954061,
5060879307,,
5060879317,,
5060879327,,
5060879338,29956.1902213899,
5060879338,27143.145631068,
5060879338,,
5060879338,24073.824119636,
5060879338,20268.1545998911,
5060879338,17337.6375147968,
5060879338,,
5060879338,21015.8707309173,
5060879338,18971.1670795486,
5060879338,18286.7071721633,
5060879339,4973727.79289905,
5060879339,4266136.42336638,
5060879339,3924591.12699748,
5060879339,4244001.48750615,
5060879339,3833623.58932012,
5060879339,3528220.16456292,
5060879340,33734.8279911851,
5060879340,37296.0682763148,
5060879340,35734.1804000503,
5060879340,36598.2219549905,
5060879340,34197.8329208749,
5060879340,33093.3203883495,
5060879340,33729.931918936,
5060879340,,
5060879340,,
5060879340,27763.1541794724,
5060879340,26876.145920942,
5060879340,30667.3264476194,
5060879340,29319.8802642444,
5060879340,28657.9265968657,
5060879340,31222.0200293112,
5060879341,98717.6307535196,
5060879341,79877.2731720272,
5060879341,57617.5342151978,
5060879341,45435.087953983,
5060879341,37961.1650485437,
5060879341,38690.0992189149,
5060879341,32352.860323831,
5060879341,32884.5339623783,
5060879341,51907.5596485703,
5060879341,75062.0269133726,
5060879341,100158.347428654,
5060879341,76175.56656574,
5060879341,187737.371925655,
5060879342,,
5060879349,241.852282229776,
5060879349,,
5060879349,674.176173510395,
5060879349,7985.3541609322,
5060879349,16708.4501042531,
5060879349,23779.6531509526,
5060879351,,
5060879351,63770.53195963,
5060879351,46792.7208166889,
5060879351,1094.13707679604,
5060879351,844.113624644082,
5060879351,690.034196384954,
5060879357,19714.7042134572,
5060879357,44620.3224159311,
5060879357,38556.9114214227,
5060879357,34215.1978468763,
5060879357,11156.444384991,
5060879357,9929.15210355987,
5060879357,35619.8543381887,
5060879357,,
5060879357,23598.8628803,
5060879357,17396.6399148576,
5060879357,12958.3683767872,
5060879357,,
5060879357,,
5060879357,,
5060879366,26975.8799317992,
5060879366,26142.4306139613,
5060879366,29862.5856215736,
5060879366,28581.5671162492,
