Instrument,Cost of Revenues - Total,Date
5081874093,14582198.6682494,2020
5081874111,712059.58655308,2016
5081874111,2031107.75274398,2017
5081874111,7043078.74641711,2018
5081874111,7396745.04118815,2019
5081874930,10127575.7763228,2020
5081874937,8659843.27520712,2019
5081874937,9809716.24123998,2020
5081874975,3641827.37521622,2018
5081874975,7492937.0614521,2019
5081874975,9780662.21636031,2020
5081874980,1121804.96189961,2017
5081874980,4306790.45389647,2018
5081874980,5488384.34280579,2019
5081874980,4625625.59545182,2020
5081875057,29809142.801859,2021
5081875146,4927802.72754256,2017
5081875146,8207852.91919274,2018
5081875149,3284143.97767306,2018
5081875149,5182893.48099399,2019
5081875149,5741910.03853996,2020
5081875168,21040748.0900574,2018
5081875168,21236483.6864572,2019
5081875168,31922551.2942056,2020
5081875177,12992605.6997011,2019
5081875177,15431626.8865561,2020
5081875265,12440300.2437745,2018
5081875265,15631612.598916,2019
5081875265,17318206.6602282,2020
5081875555,1513730.33890626,2020
5081875659,13369430.9257566,2020
5081875695,24160920.6609491,2020
5081875701,34245431.5736585,2017
5081875701,29705870.8319811,2018
5081875706,42461727.9560065,2019
5081875706,41835740.4048741,2020
5081875746,7578745.98277394,2018
5081875746,9212154.56853033,2019
5081875746,11443589.5141654,2020
5081875770,6432806.8888585,2017
5081875770,7114961.22959273,2018
5081875906,1468.90263426076,2017
5081875906,1497681.57546872,2018
5081875906,-754550.05380543,2019
5081875906,5719180.06470312,2020
5081875964,45295065.8590429,2018
5081875964,56409499.3530837,2019
5081875964,9383031.60395035,2020
5081875994,0.0,2017
5081875994,24979664.3605771,2018
5081875994,31351113.6786266,2019
5081875994,34046879.4157786,2020
5081876005,3787915.84277204,2017
5081876005,7613018.28914687,2018
5081876005,7383041.00454297,2019
5081876005,6042768.28109753,2020
5081876007,40939286.5726879,2020
5081876026,5093517.07958878,2017
5081876026,6255045.27546947,2018
5081876026,6080701.58420593,2019
5081876026,6533842.01079084,2020
5081876081,35915322.1907193,2020
5081876118,8429398.91741359,2020
5081876123,84101392.4101881,2020
5081876208,6717832.20882766,2019
5081876208,5396010.71588657,2020
5081876228,11417836.3862832,2019
5081876228,18008358.3467048,2020
5081876236,17708563.8850367,2019
5081876236,60448645.2869732,2020
5081876300,7658899.40202705,2020
5081876306,11125175.1234773,2019
5081876306,2037848.04489563,2020
5081876338,8728227.28743841,2019
5081876338,6398988.38208162,2020
5081876407,7393647.33063923,2020
5081876480,21374353.6559337,2020
5081876491,8627379.07261837,2020
5081876517,14148.2817670851,2017
5081876517,22976600.221245,2018
5081876517,30962687.612443,2019
5081876517,25842072.4153971,2020
5081876525,24526872.3952648,2020
5081876571,3367202.78565907,2018
5081876571,8410142.32186397,2019
5081876571,6410944.88245447,2020
5081876575,4008626.4914268,2018
5081876575,4593721.38952728,2019
5081876575,5368086.2574022,2020
5081876646,3316234.09307796,2017
5081876646,4627305.49445486,2018
5081876646,6973260.04322737,2019
5081876646,9590721.41994651,2020
5081876673,12414364.7997429,2020
5081876679,4054675.34942935,2019
5081876679,3613204.1222756,2020
5081876697,3516519.37235983,2019
5081876697,4059057.15565523,2020
5081876722,2607681.72216355,2018
5081876722,4950521.30530046,2019
5081876771,28510461.6282702,2019
5081876771,33386635.6048548,2020
5081876842,349456.435318085,2018
5081876842,1366663.56145764,2019
5081876842,2062879.06698427,2020
5081876891,12705110.9896817,2019
5081876891,2495028.06375576,2020
5081876894,328636.492649662,2018
5081876894,3674986.85476535,2019
5081876894,4530082.41063821,2020
5081876907,1047241.70939567,2018
5081876907,5794030.73422234,2019
5081876907,7565351.01628531,2020
5081876920,6432667.92306947,2018
5081876920,9252837.95540575,2019
5081876920,10220790.1580522,2020
5081876931,22337380.5159598,2018
5081876931,24246135.719933,2019
5081877039,16565594.0129437,2020
5081877085,11715407.2421202,2019
