Instrument,Labor & Related Expenses - Total,Date
5083256099,880073.638629441,2010
5083256099,802293.840102419,2011
5083256099,763263.537472227,2012
5083256099,652374.187602229,2013
5083256099,772660.318067947,2014
5083256099,783715.755271973,2015
5083256099,881979.693722941,2016
5083256099,1033925.55637762,2017
5083256099,1152286.29115601,2018
5083256099,1105305.11705751,2019
5083256099,917517.64478581,2020
5083256907,832210.741645168,2014
5083256907,969290.08846791,2015
5083256940,1057533.73261736,2020
5083257071,1138858.32070563,2014
5083257071,1156623.9956622,2015
5083257071,1188345.65890824,2016
5083257071,1990698.68108359,2017
5083257071,1546283.37280687,2018
5083257071,1581796.56970934,2019
5083257071,1664686.54253881,2020
5083257071,1537835.73210258,2021
5083257200,670446.649978702,2019
5083257200,567684.672696686,2020
5083257687,569206.597658446,2016
5083257687,516628.382935239,2017
5083257687,177971.294766371,2018
5083257687,188287.770315608,2019
5083260810,1723917.64058555,2020
5083260874,1206412.47152141,2019
5083260874,751640.89440935,2020
5083262792,148758.389029007,2017
5083262792,162891.961304264,2018
5083264100,1295013.2162476,2020
5083264964,516440.175063588,2013
5083264964,615295.566187791,2014
5083264964,750154.137406604,2016
5083264964,922261.57521034,2017
5083264964,1237730.62750392,2018
5083264964,1344380.65420077,2019
5083264964,1262979.14712292,2020
5083265385,2127384.39244386,2008
5083265385,1657734.2623099,2009
5083265385,2067971.40239625,2010
5083265385,2741546.28777752,2011
5083265385,2532782.75574904,2012
5083265385,3057677.60047748,2013
5083265385,3321472.77449149,2014
5083265385,3249044.41701865,2015
5083265385,3014851.77279693,2016
5083265385,3453792.43324587,2017
5083265385,6182437.68903221,2018
5083265385,3233125.59542503,2019
5083265385,3173117.34958658,2020
5083265453,585126.367065687,2019
5083265453,608747.442389581,2020
5083278570,390996.547993109,2015
5083278570,556776.799323472,2016
5083278570,745758.115519753,2017
5083278570,794636.818504162,2018
5083278570,981159.870401989,2019
5083278570,984325.224822107,2020
5083279147,1282098.96831895,2008
5083279147,1342479.65332855,2009
5083279147,1702959.43155307,2010
5083279147,2483774.64504693,2012
5083279147,3436378.97142109,2013
5083279147,3867695.22111531,2014
5083279147,3319290.82670869,2015
5083279147,3158491.31692462,2016
5083279147,3586091.36078113,2017
5083279147,4319388.40463987,2018
5083279147,4544123.74031822,2019
5083279147,3908639.28645029,2020
5083279464,239446.218269687,2013
5083279464,507785.170186646,2014
5083279464,1969854.16131828,2015
5083279464,793988.365952347,2016
5083279464,1250922.81514376,2017
5083279464,1135292.90988414,2018
5083279464,1043088.51949082,2019
5083279464,1306157.38567522,2020
5083279993,800928.150753519,2019
5083279993,832766.383440452,2020
5083281279,235456.332429714,2012
5083281279,402887.075194636,2013
5083285575,874232.727232131,2020
5083287987,318109.176939853,2019
5083287987,331796.422531657,2020
5083290123,1467046.48528098,2016
5083290123,1783954.68055663,2017
5083290123,1983821.64541635,2018
5083290123,3782687.50386489,2019
5083290123,2809559.09782312,2020
5083293263,529501.78994268,2019
5083293263,474147.836253384,2020
5083294323,3004917.25894456,2017
5083294323,2765000.37827408,2018
5083294323,5213152.81266124,2019
5083294323,4297658.28761764,2020
5083294613,683748.603424258,2012
5083294613,1711104.95978134,2013
5083297223,620579.739867542,2019
5083297223,603500.067899717,2020
5083304359,7320524.91773896,2019
5083304359,13756181.7211404,2020
5083305055,613271.974460107,2018
5083305055,573947.875957853,2019
5083305055,617729.315918541,2020
5083306846,3325430.0770408,2017
5083306846,4163399.4739601,2018
5083306846,4273557.71339513,2019
5083306846,3767642.95021559,2020
5083307216,1676628.91723698,2017
5083307216,2447364.95230418,2018
5083307216,2531011.05257651,2019
5083307216,2566090.65585361,2020
5083308723,905129.18854724,2018
5083308723,769514.634883493,2019
5083308723,755253.888613785,2020
5083309159,270127.313376439,2018
5083309159,225530.136106791,2019
5083309159,190668.371643576,2020
5083309624,7524960.3851897,2020
5083310900,243259.191726847,2008
5083310900,138786.865803483,2009
5083310900,155467.384177477,2010
5083310900,227964.915201369,2011
5083310900,719285.573943092,2012
5083310900,1625319.38878581,2013
5083310900,6172849.87186549,2014
5083310900,5971677.32421036,2015
5083310900,5658503.91467108,2016
5083310900,5353519.12706065,2017
5083310900,5012856.52813991,2018
5083310900,6753395.62352684,2019
5083310900,12266023.5572385,2020
5083311060,493370.163321006,2020
5083311208,5706206.53267412,2019
5083311208,1212877.58905916,2020
5083311272,1377578.87365434,2018
5083311272,1803971.17238348,2019
5083311272,2061222.99779575,2020
5083311536,254470.186679189,2017
5083311536,427182.155933376,2018
5083311536,434450.467036591,2019
5083311536,377909.970480222,2020
5083312354,1757949.27179917,2019
5083312361,1952692.59792958,2018
5083312361,2195774.85592864,2019
5083312361,2512369.63512908,2020
5083312389,2492603.45539844,2017
5083312389,4732242.7879843,2018
5083312389,4539118.88446793,2019
5083312389,4009118.18368941,2020
5083312425,1495471.48233817,2020
5083312441,1582925.48498451,2016
5083312441,2855345.2803416,2017
5083312441,2001209.818841,2018
5083312441,2044034.90767431,2019
5083312441,1407372.65259518,2020
5083312557,23108739.2452427,2019
5083312557,1172173.20089043,2020
5083312589,499066.727601505,2017
5083312589,566698.311057894,2018
5083312589,502429.220070114,2019
5083312589,559289.919913311,2020
5083312894,95861.2946403216,2016
5083312894,175568.993850127,2017
5083312894,47729.0033928706,2018
5083313055,214487.975758374,2015
5083313055,755948.922184161,2016
5083313055,735343.233568365,2017
5083313055,587126.855791622,2018
5083313055,612216.878729391,2019
5083313055,523030.790473826,2020
5083313219,355867.576785448,2017
5083313219,404660.738145336,2018
5083313224,129484.697345931,2018
5083313224,685723.721691614,2019
5083313246,391004.880326432,2019
5083313246,412014.715019854,2020
5083313340,660685.763993924,2019
5083313340,3541284.96457029,2020
5083313363,1595680.60644712,2008
5083313363,1446946.26511645,2009
5083313363,409304.698236238,2018
5083313363,552512.00218299,2019
5083313363,535659.349617927,2020
5083313457,1221757.61516046,2016
5083313457,1472274.87481911,2017
5083313457,2390610.62837239,2018
5083313457,2909574.67976292,2019
5083313457,2086536.27284917,2020
5083313724,1130363.34576111,2008
5083313724,1073746.21682748,2009
5083313724,1615304.14868181,2010
5083313724,1448186.29565298,2011
5083313724,1268142.01422439,2012
5083313724,849892.234907022,2013
5083313724,808142.574436566,2014
5083313724,709614.135713662,2015
5083313724,738156.715351192,2016
5083313724,749357.09784451,2017
5083313724,805604.420741498,2018
5083313724,622574.744692171,2019
5083313724,266120.930204413,2020
5083338529,1337032.50659556,2015
5083338529,1843796.83522077,2016
5083338529,1530709.13450732,2017
5083338529,1584517.46752528,2018
5083338529,1825600.79120416,2019
5083338529,1991258.3796667,2020
5083340104,1954500.70436026,2014
5083340104,2859379.38361103,2015
5083340104,2639575.92296085,2016
5083340104,2448055.83519135,2017
5083340104,2598970.81723708,2018
5083340104,2334479.50780675,2019
5083340104,2387783.41085673,2020
5083340391,3820610.88014432,2019
5083340391,3561081.358858,2020
5083341591,876479.428878804,2008
5083341591,754737.538374623,2009
5083341591,805722.940321901,2010
5083341591,942617.951761945,2011
5083341591,978232.989459736,2012
5083341591,1082031.50322232,2013
5083341591,1070901.68921289,2014
5083341591,1004665.77984149,2015
5083341591,1075770.45016428,2016
5083341591,1207712.18157916,2017
5083341591,1286675.548104,2018
5083341591,1384841.40460164,2019
5083341591,1299504.10234859,2020
5083341643,429674.450882384,2020
5083375788,240121.365196914,2019
5083375788,746041.211118347,2020
5083375827,576376.427378193,2019
5083375827,981290.657697918,2020
5083375850,1889702.78988959,2019
5083375850,1728603.46185986,2020
5083375890,707690.624320434,2020
5083375893,676677.549693623,2020
5083375898,10838384.1746752,2019
5083375898,9683657.56294155,2020
5083376088,423100.142771443,2018
5083376088,465155.411036498,2019
5083376156,109961.315642127,2019
5083376156,676067.204938252,2020
5083376176,3551137.53596775,2019
5083376176,6182798.82933009,2020
5083376267,3096113.57842725,2020
5083376285,767204.674356113,2017
5083376285,844413.838493831,2018
5083376285,802684.173703993,2019
5083376285,898883.013959641,2020
5083376370,172572.227617883,2018
5083376370,888356.203189761,2019
5083376370,681629.870180129,2020
5083376674,1599651.25545068,2020
5083376702,283485.220450398,2018
5083376702,168502.074787435,2019
5083376702,233691.020764832,2020
5083376819,702030.667279007,2020
5083376961,1090431.24504264,2019
5083376961,1107069.97545145,2020
5083377029,527402.311178627,2020
5083377050,1359889.06252887,2018
5083377050,1789902.85431299,2019
5083377050,2221915.36321633,2020
5083377062,110372.611571272,2019
5083377062,158233.06375619,2020
5083426702,794417.565234009,2009
5083426702,1067532.08005904,2010
5083426702,1849120.33499839,2011
5083426702,2170334.99438137,2012
5083426702,2035275.62336258,2013
5083426702,1925469.61127611,2014
5083426702,2341501.74542722,2015
5083426702,1669440.40874652,2016
5083426702,833385.273550459,2017
5083426702,817237.624596386,2018
5083426702,701219.92096545,2020
5083427995,90289.8234053828,2016
5083427995,300426.272273084,2017
5083427995,266366.30770788,2018
5083427995,239984.790378786,2019
5083427995,221532.894268472,2020
5083429325,233557.931744584,2016
5083429325,544271.942689673,2017
5083429325,375433.877814554,2018
5083429325,279556.449505185,2019
5083429325,326821.605540383,2020
5083429560,1024458.36623714,2008
5083429560,954788.819838221,2009
5083429560,1135210.48793449,2010
5083429560,1231066.15731082,2011
5083429560,1117995.23224193,2012
5083429560,1307374.39785557,2013
5083429560,1266194.77175429,2014
5083429560,1485035.96374132,2015
5083429560,1745062.80876555,2016
5083429560,1894887.81649853,2017
5083429560,1897053.32832904,2018
5083429560,1452882.31723777,2019
5083430332,641042.832952653,2019
5083430332,611452.791666584,2020
5083564906,151787.136978592,2012
5083564906,307900.582740545,2013
5083564906,431442.550998546,2014
5083564906,643439.453682784,2015
5083564906,989571.622079895,2016
5083564906,1201588.61348018,2017
5083564906,1689261.55269728,2018
5083564906,1909015.1106507,2019
5083564906,2299414.29526025,2020
5083565139,3884085.66338496,2010
5083565139,4657146.02994423,2011
5083565139,4557243.95129627,2012
5083565139,6346922.78891331,2013
5083565139,8272885.60593123,2014
5083565139,9975031.13139547,2015
5083565139,12311648.9830787,2016
5083565139,14918739.1424053,2017
5083565139,16386135.4567946,2018
5083565139,18397417.1355668,2019
5083565139,21284112.0924949,2020
5083565380,1752634.5759426,2019
5083565380,1720979.05577428,2020
5083565513,468641.085546037,2019
5083565513,1036946.90349551,2020
5083567160,2450410.07231024,2012
5083567160,2581365.99952247,2013
5083567160,2422917.53498901,2014
5083567160,2441389.95276487,2015
5083567160,2494446.99012427,2016
5083567160,2625872.13904573,2017
5083567160,3119308.5444191,2018
5083567160,3465545.81666106,2019
5083567160,3491277.8262673,2020
5083569818,2858088.39712892,2019
5083569818,3245818.47207438,2020
5083570275,1888430.04965834,2015
5083570275,1971937.83157597,2016
5083572176,1147035.00301073,2020
5083572963,345450.397683307,2019
5083572963,421511.136698314,2020
5083596881,220117.441974662,2020
5083596991,486242.183671017,2008
5083596991,502261.1524138,2009
5083596991,789256.608321961,2010
5083596991,887205.860838567,2011
5083596991,1041072.85037065,2012
5083596991,1190553.60015088,2013
5083596991,1825544.03184781,2014
5083596991,2844182.44746124,2015
5083596991,1573447.47453273,2016
5083596991,1021979.02792135,2017
5083596991,1718423.2495006,2018
5083596991,1230897.7993692,2019
5083599169,5821336.32968876,2008
5083599169,4777395.48479389,2009
5083599169,5098016.57726892,2010
5083599169,5884596.32500384,2011
5083599169,7403337.7705333,2012
5083599169,7122637.79592609,2013
5083599169,8389365.54209811,2014
5083599169,9064763.79149516,2015
5083599169,9573889.38275151,2017
5083599169,11072930.1400673,2018
5083599169,12203785.9373615,2019
5083599169,11961592.9002548,2020
5083599169,10729757.0742901,2021
5083599581,1524156.70294287,2016
5083599581,2748314.18636051,2017
5083599581,2838495.62372016,2018
5083599581,2114970.82050261,2019
5083599581,1772963.858576,2020
5083614305,6054597.75678137,2019
5083614305,7770967.48099598,2020
5083668893,32481.7844422146,2018
5083668893,308543.185615989,2019
5083668893,310357.204232465,2020
5083668960,70538.4353674664,2012
5083668970,259099.448642115,2008
5083668970,379400.520668099,2009
5083668970,385781.361372789,2010
5083668970,354526.031916144,2011
5083668970,399410.069943722,2012
5083669041,121193.513687834,2016
5083669041,158570.187344842,2017
5083669041,136024.027037345,2018
5083669041,151830.366908302,2019
5083669466,520291.267162437,2020
5083669475,618442.92280527,2010
5083669475,839680.402648558,2011
5083669475,821794.868466569,2012
5083669475,905195.169553122,2013
5083669487,512001.486996487,2010
5083669487,187204.133830589,2011
5083669487,104566.957720145,2012
5083669521,529601.239005064,2020
5083669527,169396.267760866,2018
5083669527,289181.830374449,2019
