Instrument,Company Common Name,Country ISO Code of Headquarters,Organization Status Code
5082932690,Sapsinsiam Joint Venture,TH,Act
5082932691,Calsonic Kansei Thailand Plant 2 Co Ltd,TH,Act
5082932692,Calsonic Kansei Thailand Via Logistics Co Ltd,TH,Act
5082932693,Bangpoo Muang Sa-Ard Joint Venture,TH,Act
5082932718,Joint Venture of Siemens Siemens Ag Ibm Thailand and Por Co Ltd,TH,Act
5082932721,Joint Venture of SG Bang Saen World Multilink,TH,Act
5082932725,Joint Venture of Ronpibul Engineering Partnership and CSP Engineering P Ltd,TH,Act
5082932737,Joint Venture of See Sang Karn Yotah 1979 and See Sang Karn Yotah Limite Co Ltd,TH,Act
5082932742,Joint Venture of SG World Multilink,TH,Act
5082932745,A Sianmarinedigital Joint Venture,TH,Act
5082932772,Joint Venture of SG World Multilink Manoch,TH,Act
5082932800,Salcon SKV Consortium,TH,Act
5082932805,Joint Venture of Satokokyo Bangkok and Srichonlathon Co Ltd,TH,Act
5082932832,Patco-Tindy Joint Venture,TH,Act
5082932837,PIP GLOBAL COMPANY LIMITED,TH,Act
5082932847,STN & BWC Joint Venture,TH,Act
5082932863,Sse Joint Venture,TH,Act
5082932866,Joint Venture of Seafco and Prayoonchai 1984 Co Ltd,TH,Act
5082932879,VK Joint Venture,TH,Act
5082932891,Joint Venture of TH,TH,Act
5082932892,Joint Venture of Thai Slurry Seal and Vag En Beauce,TH,Act
5082932901,K Line Thailand Bangkok Branch Ltd,TH,Act
5082932902,Rudeeprayong Right Tunnelling Joint Venture,TH,Act
5082932922,Tips Branch Co Ltd,TH,Act
5082932923,Nib-TMT Joint Venture,TH,Act
5082932933,Smart Green Engineering Joint Venture,TH,Act
5082932936,Wisco Ailliances Group,TH,Act
5082932937,CDS Storage Branch Co Ltd,TH,Act
5082932944,R CYS Joint Venture,TH,Act
5082932947,CPP Energy Solution Prowider JV Joint Venture,TH,Act
5082932949,Awot Global Logistics Thailand Co Ltd,TH,Act
5082932950,Joint Venture of Group of Companies of Mae Taeng Mae Ngad Project Management Consultant,TH,Act
5082932957,Sermsanguan and ChorThawee Joint Venture,TH,Act
5082932965,Terruszo Supply Ranong and Pongpattana Ranong Partnership Joint V Co Ltd,TH,Act
5082932973,KSW & Emt Joint Venture,TH,Act
5082932999,Phitsanulok Electricity Generating Co Ltd,TH,Act
5082933007,Atr Solution Joint Venture,TH,Act
5082933013,Taulahp Transport Co Ltd,TH,Act
5082933022,Huacheng Engineering Co Ltd,TH,Act
5082933052,Phatana Bannakit and Saha Siri Patana Joint Venture,TH,Act
5082933059,Leon Duty Free Co Ltd,TH,Act
5082933060,Vars and Chiang Mai Rimdoi Joint Venture Co Ltd,TH,Act
5082933063,Rozai Thailand Co Ltd,TH,Act
5082933064,CHPort and Digital First & Service Network Joint Venture,TH,Act
5082933065,Chotevanakan Transport Co Ltd,TH,Act
5082933066,CPN-NTP Joint Venture,TH,Act
5082933067,Drill-Tech Thailand Co Ltd,TH,Act
5082933069,Betimes Solutions and Ultimate Solutions Joint Venture,TH,Act
5082933071,Siam Pin Hui International Co Ltd,TH,Act
5082933074,Jatupornpun-Treetouch Khonthai Wannee Joint Venture,TH,Act
5082933082,Grandlink Logistics Co Ltd,TH,Act
5082933085,Padoongrich Transportation Co Ltd,TH,Act
5082933094,Venture Saimscan & B,TH,Act
5082933097,BPS Bangkok Co Ltd,TH,Act
5082933104,TVLK Co Ltd,TH,Act
5082933112,Wholesale Electric Asia Thailand Ltd,TH,Act
5082933114,Cherdchai Corp Co Ltd,TH,Act
5082933133,United Capital Equipment Co Ltd,TH,Act
5082933137,Thai Electric Vehicle Co Ltd,TH,Act
5082933275,Saipem and Ctci Joint Venture,TH,Act
5082933345,HKL Perfect Co Ltd,,Act
5082933351,A2 Water Management Co Ltd,TH,Act
5082933361,J Copper Co Ltd,TH,Act
5082933379,Kubota Tag Co Ltd,TH,Act
5082933388,Sanshin Construction Thailand Co Ltd,TH,Act
5082933396,Thai Techno Copper Co Ltd,TH,Act
5082933397,America Metal Industry Thailand Co Ltd,TH,Act
5082933399,Ava Petroleum and Trans Co Ltd,TH,Act
5082933416,Getlinks Recruitment Co Ltd,TH,Act
5082933427,Rever Commercial Vehicles Co Ltd,TH,Act
5082933432,Sher Li Ga Thailand Co Ltd,TH,Act
5082933441,ATS Gold Supply Co Ltd,TH,Act
5082933460,Create New Energy Co Ltd,TH,Act
5082933462,Dragon Cargo Services Co Ltd,TH,Act
5082933465,Firsttech Design Co Ltd,TH,Act
5082933466,Gao Yang Electric Co Ltd,TH,Act
5082933467,Grand Dragon Logistics Co Ltd,TH,Act
5082933470,HIGH SOLUTION OF TECHNOLOGY NETWORK COMPANY LIMITED,TH,Act
5082933486,Max Smile Co Ltd,TH,Act
5082933496,PPK Powerdrive Co Ltd,TH,Act
5082933512,Siri Success Supply Co Ltd,TH,Act
5082933519,Success Engineering Civil and Construction Co Ltd,TH,Act
5082933525,Technip Energies Holding Thailand Ltd,TH,Act
5082933527,Thavorn Rungrueang Agriculture and Crop Partnership Ltd,TH,Act
5082933528,M Global Corp Co Ltd,TH,Act
5082933532,Unique Thai Developments Co Ltd,TH,Act
5082933544,Alpha Marine Transport Co Ltd,TH,Act
5082933552,Asia Ground Service Co Ltd,TH,Act
5082933554,Asia Worldsupply Co Ltd,TH,Act
5082933557,Athens Distribution Co Ltd,TH,Act
5082933566,Bigdeal Global Co Ltd,TH,Act
5082933567,B-Lay Plus Co Ltd,TH,Act
5082933572,Business Idea Co Ltd,TH,Act
5082933576,Primestreet Asset Co Ltd,TH,Act
5082933595,Diff Construction Co Ltd,TH,Act
5082933606,E-Way Alliance Thailand Co Ltd,TH,Act
5082933610,13 Store Co Ltd,TH,Act
5082933614,Foton Automobile Thailand Co Ltd,TH,Act
5082933634,Hewtech Bangkok Co Ltd,TH,Act
5082933644,Iam Pong Development Co Ltd,TH,Act
5082933651,I-Smart 8 Co Ltd,TH,Act
5082933655,JP System and Management Co Ltd,TH,Act
5082933656,JJ Import Export Thailand Co Ltd,TH,Act
5082933658,KA 19 Construction Co Ltd,TH,Act
5082933666,Key Point Construction Co Ltd,TH,Act
5082933670,King Power Aviation Co Ltd,TH,Act
5082933673,Kitz Valve & Actuation Thailand Co Ltd,TH,Act
5082933676,Kudun & Partners Co Ltd,TH,Act
5082933679,Lazada Express Ltd,TH,Act
5082933688,Marat Trading Co Ltd,TH,Act
5082933692,Megatrans and Service Co Ltd,TH,Act
5082933693,Metallex Inter Co Ltd,TH,Act
5082933697,Mind Power Inter Co Ltd,TH,Act
5082933705,MT Precast Co Ltd,TH,Act
5082933714,Nateephat Engineering Co Ltd,TH,Act
5082933720,NP Samui Port Co Ltd,TH,Act
5082933735,Pentor Exchange BY Pentor Group Co Ltd,TH,Act
5082933736,Peri Formwork & Scaffolding Thailand Ltd,TH,Act
5082933739,PH Design & Engineering Thailand Co Ltd,TH,Act
5082933746,PMG Integrated Communications Thailand Co Ltd,TH,Act
5082933752,PTM Asset Co Ltd,TH,Act
5082933756,Rattana Wanich Transports Co Ltd,TH,Act
5082933772,Scena Offshore Co Ltd,TH,Act
5082933775,Siam Agrovet Co Ltd,TH,Act
5082933784,Siam Takashimaya Thailand Co Ltd,TH,Act
5082933786,Property 9 Co Ltd,TH,Act
5082933788,Sinchai Polyand Steel Co Ltd,TH,Act
5082933792,Sinopec Engineering Group Thailand Co Ltd,TH,Act
5082933799,Solar Epcf Co Ltd,TH,Act
5082933817,Taweechok Truck and Equipment Co Ltd,TH,Act
5082933822,DTGO Prosperous Co Ltd,TH,Act
5082933826,Thai Polysys Co Ltd,TH,Act
5082933830,Visone Asset Co Ltd,TH,Act
5082933832,Thanancha Group Co Ltd,TH,Act
5082933837,Thepnimit Logistics Co Ltd,TH,Act
5082933838,Thongchaicharoensap Roongruanggit Co Ltd,TH,Act
5082933839,Tna Asia Co Ltd,TH,Act
5082933848,TSPG Co Ltd,TH,Act
5082933851,Twenty-Four Con & Supply Co Ltd,TH,Act
5082933858,V2S Computer Co Ltd,TH,Act
5082933864,Wanichchai Corp Co Ltd,TH,Act
5082933875,YAT Fast Service Co Ltd,TH,Act
5082933882,Ajv Inter Fruits Co Ltd,TH,Act
5082933884,Alpha Performance Group Co Ltd,TH,Act
5082933891,Bangkok Barge Terminal Co Ltd,TH,Act
5082933905,CHLJob Agency Co Ltd,TH,Act
5082933906,Choksrisuk Co Ltd,TH,Act
5082933910,DHK Yotaganchang Co Ltd,TH,Act
5082933916,Eagle Lumsum Transport Partnership Ltd,TH,Act
5082933926,Pegasus Autohaus Co Ltd,TH,Act
5082933928,G Safe Security Co Ltd,TH,Act
5082933945,Job Serve Resources Co Ltd,TH,Act
5082933951,Koravot Service Co Ltd,TH,Act
5082933953,KSB Transport Co Ltd,TH,Act
5082933959,Lesha Thailand Co Ltd,TH,Act
5082933970,Muaklek Muang Thong Co Ltd,TH,Act
5082933976,Nattee & K Service Co Ltd,TH,Act
5082933977,Navapoom Civil Partnership Ltd,TH,Act
5082933978,Ngamnarongchai Subcontract Service Partnership Ltd,TH,Act
5082933992,Pantong LPG Co Ltd,TH,Act
5082933993,PANYAKORN CONSULTANT COMPANY LIMITED,TH,Act
5082934003,Phiphatsteel Co Ltd,TH,Act
5082934041,TCMetal Asset Co Ltd,TH,Act
5082934042,SLV Fresh Fruits Co Ltd,TH,Act
5082934043,Smile P Co Ltd,TH,Act
5082934048,Sub-Aek Metal Thailand Co Ltd,TH,Act
5082934051,Supawich Patanakit Co Ltd,TH,Act
5082934068,TTY Import & Export Co Ltd,TH,Act
5082934084,Amata Publishing House Co Ltd,TH,Act
5082934090,BIG.Inter Group Security Guard Co Ltd,TH,Act
5082934108,Chayaphan 2015 Co Ltd,TH,Act
5082934113,Chokpermpoon 45 Co Ltd,TH,Act
5082934114,CHOKTHAWEESAK TRANSPORT COMPANY LIMITED,TH,Act
5082934117,Chuangchan Engineering Co Ltd,TH,Act
5082934121,Cte Tech Thailand Co Ltd,TH,Act
5082934124,DCL Mold & Auto Parts Co Ltd,TH,Act
5082934125,Delta Parts and Dies Co Ltd,TH,Act
5082934130,Eastern Summit Co Ltd,TH,Act
5082934132,Esa Consulting Thailand Co Ltd,TH,Act
5082934146,Halee Agri-Trade Co Ltd,TH,Act
5082934149,Hi-Tech Precision Mold Thailand Co Ltd,TH,Act
5082934150,Hong Chue Chan Logistics Co Ltd,TH,Act
5082934153,Ics Global Fabrication Service Co Ltd,TH,Act
5082934156,Inter Jig Co Ltd,TH,Act
5082934174,Khunanan and K-Man Service Co Ltd,TH,Act
5082934195,Man A Supply & Service Partnership Ltd,TH,Act
5082934220,PDS Group and Supply Partnership Ltd,TH,Act
5082934221,PRelation Co Ltd,TH,Act
5082934227,Pattaya Aviation Co Ltd,TH,Act
5082934231,PCT BUSINESS COMPANY LIMITED,TH,Act
5082934246,Premium Grain Co Ltd,TH,Act
5082934248,Racha Inter Group Co Ltd,TH,Act
5082934266,S.SRUPHTANEE TRANSPORT COMPANY LIMITED,TH,Act
5082934274,Sahapipatthanakij Co Ltd,TH,Act
5082934298,Sitthi Logistics Thailand Co Ltd,TH,Act
5082934309,SUCCESS FULL (2014) COMPANY LIMITED,TH,Act
5082934337,T I P Metal Industries Ltd,TH,Act
5082934354,Wei Bo International Transport Co Ltd,TH,Act
5082934355,Whale Logistics Thailand Co Ltd,TH,Act
5082934356,Woei Hao Mold Co Ltd,TH,Act
5082934358,Yairungruang Partnership Ltd,TH,Act
5082934360,YM Plus Co Ltd,TH,Act
5082934361,Yodphollatorn Co Ltd,TH,Act
5082934368,9 Samukki Transport Company Limited,TH,Act
5082934374,AP Jointventure,TH,Act
5082934391,Apisra Marine Food Partnership Ltd,TH,Act
