Instrument,TRBC Industry Group Name,SIC Industry Code,GICS Sub-Industry Code
5083561459,Construction Materials,,
5083561942,Construction Materials,,
5083563172,Paper & Forest Products,,
5083563385,Construction Materials,,
5083563419,Metals & Mining,,
5083563776,Metals & Mining,,
5083569253,Chemicals,,
5083571005,Construction Materials,,
5083572125,Construction & Engineering,,
5083584007,Chemicals,,
5083585222,Metals & Mining,,
5083587888,,,
5083588660,Construction Materials,,
5083601252,Metals & Mining,,
5083603297,Paper & Forest Products,,
5083612675,Chemicals,,
5083642679,Paper & Forest Products,,
5083642729,,,
5083651977,Paper & Forest Products,,
5083666895,Paper & Forest Products,,
5083681068,Construction Materials,,
5083689553,Chemicals,,
4298083873,,,
5001230116,Banking Services,,
5044025831,Banking Services,,
5045517180,Banking Services,,
5064620746,Banking Services,,
5069404568,Banking Services,,
5076356527,Banking Services,,
5081763676,Investment Holding Companies,,
5082827431,Banking Services,,
5082833515,Banking Services,,
5083222118,Banking Services,,
5083306062,Banking Services,,
5083343815,Banking Services,,
4295933211,Insurance,,
4296041128,Insurance,,
4296652516,Banking Services,,
4296694546,Banking Services,,
4296722556,Insurance,,
4296933567,Banking Services,,
4297198689,Banking Services,,
4297258466,Banking Services,,
4297721520,Banking Services,,
5001099263,Banking Services,,
5001121664,Banking Services,,
5038038193,Investment Banking & Investment Services,,
5040274308,Banking Services,,
5040274513,Banking Services,,
5040932414,Banking Services,,
5040933191,Banking Services,,
5040933215,Banking Services,,
5040933287,Banking Services,,
5040941915,Banking Services,,
5040941916,Banking Services,,
5040942432,Banking Services,,
5040943369,Banking Services,,
5042250253,Investment Banking & Investment Services,,
5046911395,Investment Banking & Investment Services,,
5052148393,Investment Banking & Investment Services,,
5061699610,Investment Banking & Investment Services,,
5062284864,Banking Services,,
5071525356,Banking Services,,
5071526527,Banking Services,,
5071527678,Banking Services,,
5073620347,Investment Banking & Investment Services,,
5073980955,Banking Services,,
5079141359,Investment Banking & Investment Services,,
5081149431,Investment Banking & Investment Services,,
5081364432,Banking Services,,
5081763044,Banking Services,,
5081776027,Investment Holding Companies,,
5081965114,Banking Services,,
5081965485,Banking Services,,
5081965608,Banking Services,,
5081968849,Investment Holding Companies,,
5082030756,Insurance,,
5082051126,Investment Banking & Investment Services,,
5082065805,Investment Banking & Investment Services,,
5082094271,Investment Banking & Investment Services,,
5082155790,Banking Services,,
5082834137,Insurance,,
5083162097,Banking Services,,
5083162101,Banking Services,,
5083201103,Insurance,,
5083217776,Investment Holding Companies,,
5083261966,Collective Investments,,
5083292436,Banking Services,,
5083337367,Insurance,,
5083339930,Banking Services,,
5083441961,Banking Services,,
5083565643,Investment Holding Companies,,
5081168302,Renewable Energy,,
5083240544,Oil & Gas,,
4296753893,Government Activity,,
5000899962,Electric Utilities & IPPs,,
5000899965,Electric Utilities & IPPs,,
5001123554,Electric Utilities & IPPs,,
5042215092,Electric Utilities & IPPs,,
5052527810,Professional & Business Education,,
5064637497,Professional & Business Education,,
5079909630,Government Activity,,
5080073758,Government Activity,,
5081504430,Real Estate Operations,,
5081662047,Government Activity,,
5082706369,Hotels & Entertainment Services,,
5082709536,Miscellaneous Educational Service Providers,,
5082709848,Miscellaneous Educational Service Providers,,
5082710112,Miscellaneous Educational Service Providers,,
5082710187,Miscellaneous Educational Service Providers,,
5082711624,Miscellaneous Educational Service Providers,,
5082711771,Miscellaneous Educational Service Providers,,
5082711780,Miscellaneous Educational Service Providers,,
5082711835,Miscellaneous Educational Service Providers,,
5082732274,Miscellaneous Educational Service Providers,,
5082732760,Miscellaneous Educational Service Providers,,
5082874282,Miscellaneous Educational Service Providers,,
5082888627,Coal,,
5082888639,Natural Gas Utilities,,
5082889105,Oil & Gas,,
5082889441,Miscellaneous Educational Service Providers,,
5082889800,Miscellaneous Educational Service Providers,,
5082889856,Miscellaneous Educational Service Providers,,
5083218040,Professional & Commercial Services,,
5083231958,Miscellaneous Educational Service Providers,,
5083232183,Food & Tobacco,,
5083233861,Miscellaneous Educational Service Providers,,
5070822061,Real Estate Operations,,
5082859991,"Institutions, Associations & Organizations",,
5082859992,"Institutions, Associations & Organizations",,
5082859993,"Institutions, Associations & Organizations",,
5082859997,"Institutions, Associations & Organizations",,
5082860001,"Institutions, Associations & Organizations",,
5082860004,"Institutions, Associations & Organizations",,
5082860006,"Institutions, Associations & Organizations",,
5082860007,Real Estate Operations,,
5083608119,Government Activity,,
4297098731,Food & Tobacco,,
5063349445,Food & Drug Retailing,,
5081971272,Food & Drug Retailing,,
5081971442,Food & Tobacco,,
5081971445,Beverages,,
5082030166,Food & Drug Retailing,,
5082030172,Food & Drug Retailing,,
5082030174,Food & Drug Retailing,,
5083050806,Food & Tobacco,,
5083050817,Food & Drug Retailing,,
5083082164,Food & Tobacco,,
5083082173,Food & Tobacco,,
5083082175,Food & Drug Retailing,,
5083082183,Food & Tobacco,,
5083082186,Food & Drug Retailing,,
5083082187,Food & Drug Retailing,,
5083186643,Food & Drug Retailing,,
5083190883,Food & Drug Retailing,,
5083218150,Beverages,,
5083219515,Food & Drug Retailing,,
5083315017,Food & Drug Retailing,,
5083316276,Food & Tobacco,,
5083317729,Food & Drug Retailing,,
5083317841,Food & Tobacco,,
5083335587,Food & Tobacco,,
5083537825,Food & Drug Retailing,,
5083538083,Food & Drug Retailing,,
4295882987,Freight & Logistics Services,,
4295882999,Freight & Logistics Services,,
4295883012,Freight & Logistics Services,,
4295959498,Freight & Logistics Services,,
4296010073,Hotels & Entertainment Services,,
4296015814,"Machinery, Tools, Heavy Vehicles, Trains & Ships",,
4296095755,Chemicals,,
4296173564,Professional & Commercial Services,,
4296177475,Professional & Commercial Services,,
4296206185,Professional & Commercial Services,,
4296206189,Banking Services,,
4296206193,Homebuilding & Construction Supplies,,
4296206211,"Machinery, Tools, Heavy Vehicles, Trains & Ships",,
4296279877,Professional & Commercial Services,,
4296291677,Construction & Engineering,,
4296291689,,,
4296291692,,,
4296291711,,,
4296291714,Professional & Commercial Services,,
4296296089,Banking Services,,
4296408940,Freight & Logistics Services,,
4296511790,Construction & Engineering,,
4296540238,Professional & Commercial Services,,
4296549681,Professional & Commercial Services,,
4296555258,Freight & Logistics Services,,
4296630955,,,
4296636099,,,
4296665855,Passenger Transportation Services,,
4296738299,Professional & Commercial Services,,
