Instrument,Organization Ultimate Parent,Ultimate Parent Id,Country ISO2 Code of Ultimate Parent Headquarters
5062226792,Guangzhou Ding Yi Foods Co Ltd,5081700059.0,CN
5062226803,Lingbi County Yongsheng Powder Manufacturing Co Ltd,5062226803.0,CN
5062226866,Huaiyang County Fengyuanchun Plant Oil Co Ltd,5062226866.0,CN
5062226867,Crosston International Investment Ltd,5000087882.0,HK
5062226913,Shanghai Qiao Lian Foods and Beverage Management Co Ltd,5082313856.0,CN
5062226942,Heilongjiang Supply & Distribution Cooperative Association,5044724265.0,CN
5062227033,Guangdong Mingde Shengke Agriculture & Animal Husbandry Co Ltd,5076390637.0,CN
5062227063,Xinjiang Tianshanxue Food Co Ltd,5062227063.0,CN
5062227105,Qiqihar Honghe Rices CoLTD,5062227105.0,CN
5062227191,Guangdong Agribusiness Group Corp,5000704161.0,CN
5062227213,Jiangxi Chunxin Enterprise Management Consulting Service Co Ltd,5080180457.0,CN
5062227273,Liaoning Xibo Foodstuff Co Ltd,5062227273.0,CN
5062227288,Hunan Resun Co Ltd,5084581049.0,CN
5062227317,Weifang Jinhe Xinshidai Food CoLTD,5062227317.0,CN
5062227336,Sichuan Jitailong Food Group Co Ltd,5058646223.0,CN
5062227338,Rong County Yangguang Agricultural Development Co Ltd,5063188785.0,CN
5062227388,Lijiang Zhongyuan Green Food Co Ltd,5062227388.0,CN
5062227389,Dehong Aohuan Group Co Ltd,5062227389.0,CN
5062227417,Shandong Xinkang Agricultural Development Co Ltd,5079918653.0,CN
5062227671,Jixi County Banqiao Green Agricultural Products Development Co Ltd,5062227671.0,CN
5062227784,Panshi Jinxuan Cereal & Oil Co Ltd,5062227784.0,CN
5062227896,Xinjiang Ruijiahong New Energy Material Co Ltd,5087081395.0,CN
5062227897,Restricted Data Order Investigation 526747234,5083720811.0,CN
5062227921,Zhanjiang Guolian Aquatic Products Co Ltd,4298346985.0,CN
5062227982,Pingyuan County Juyuan State-Owned Assets Management CoLTD,5076391486.0,CN
5062228004,Shenyang Donghui Enterprise Management Co Ltd,5064634793.0,CN
5062228069,Qingdao Countree Food CoLTD,5071489044.0,CN
5062228079,Anhui Fengyang County Shengyuan Agricultural Development Co Ltd,5062228079.0,CN
5062228085,Shijiazhuang Jinqiao Amylum Co Ltd,5062228085.0,CN
5062228086,Liaoning Academy of Agricultural Sciences,5083305852.0,CN
5062228183,Henan Shangdu Technology Development Group Co Ltd,5062270474.0,CN
5062228186,Hubei Kewang Animal Husbandry CoLTD,5058633630.0,CN
